Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P222 Group 2 Rev 2 R01,3617.08,3617.08,0.98,0.00,0.00,0.00,185747.28,162270.05,163644.66,1.83,1.00,1.00,242.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.07,228.68,1.00,2024-10-30 12:41:31,67.86,69.30,67.86,254.97,2.81,1.00,10.00,-90.00,0.00,1.14,0.00,1.00,61.84,61.84,1,51.00,52.00,22.22,70.52,1.00,247.36,0.00,0.00,0.00,1.08,32.31,58141,0.00,0.00,0.00,0.00,0.97,30136.00,0.96,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD249896DD11EF937150EBF6EE7050,163644.66,174226.55,66.85
2024-10-30 P222 Group 2 Rev 2 R01,2953.63,2953.63,0.97,0.00,0.00,0.00,153771.01,118970.71,120753.05,1.83,2.00,2.00,853.00,912.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.89,1.00,1.13,209.60,1.00,2024-10-30 12:41:31,61.32,62.78,61.32,236.06,2.81,1.00,-65.00,-90.00,0.00,1.12,0.00,1.00,58.07,58.07,2,48.00,49.00,26.20,65.02,1.00,232.27,0.00,0.00,0.00,1.11,35.75,58141,0.00,0.00,0.00,0.00,0.94,29688.00,0.90,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD280096DD11EF937150EBF6EE7050,120753.05,129577.17,61.36
2024-10-30 P222 Group 2 Rev 2 R01,1523.48,1523.48,0.99,0.00,0.00,0.00,57950.81,44471.67,44732.00,1.83,3.00,3.00,330.00,991.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.96,1.00,1.04,153.44,1.00,2024-10-30 12:41:31,44.04,45.13,44.04,223.61,2.91,1.00,-75.00,0.00,0.00,1.11,0.00,1.00,41.94,41.94,3,38.00,38.00,35.45,46.71,1.00,167.77,0.00,0.00,0.00,1.09,40.66,58142,0.00,0.00,0.00,0.00,0.98,22687.00,0.94,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD2A5096DD11EF937150EBF6EE7050,44732.00,48123.13,43.04
2024-10-30 P222 Group 2 Rev 2 R01,6753.86,6753.86,0.93,0.00,0.00,0.00,459173.38,403030.78,417534.48,1.83,4.00,4.00,340.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.90,1.00,1.11,309.24,1.00,2024-10-30 12:41:31,92.73,94.68,92.73,250.40,2.98,1.00,-75.00,0.00,0.00,1.17,0.00,1.00,83.62,83.62,4,66.00,64.00,18.53,97.99,1.00,334.47,0.00,0.00,0.00,1.08,29.14,58143,0.00,0.00,0.00,0.00,0.95,44225.00,0.92,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD2C7896DD11EF937150EBF6EE7050,417534.48,444449.22,90.66
2024-10-30 P222 Group 2 Rev 2 R01,2133.47,2133.47,0.90,0.00,0.00,0.00,90020.70,69915.73,74130.17,1.83,5.00,5.00,668.00,1658.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.95,0.99,1.05,179.53,1.00,2024-10-30 12:41:31,52.12,53.47,52.12,172.20,3.06,1.00,-65.00,0.00,0.00,1.19,0.00,1.00,48.58,48.58,5,44.00,41.00,42.09,57.70,1.00,194.30,0.00,0.00,0.00,1.08,40.35,58144,0.00,0.00,0.00,0.00,0.98,35900.00,0.94,2024-10-30 12:41:31,2024-10-30 12:41:31,0.03,D5AD2EA796DD11EF937150EBF6EE7050,74130.17,80055.50,48.54
2024-10-30 P222 Group 2 Rev 2 R01,3217.50,3217.50,0.98,0.00,0.00,0.00,158973.21,136079.13,137290.75,1.83,6.00,6.00,764.00,1752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.93,1.00,1.07,216.73,1.00,2024-10-30 12:41:31,64.01,65.12,64.01,215.99,3.31,1.00,-60.00,-90.00,0.00,1.14,0.00,1.00,58.71,58.71,6,49.00,50.00,29.17,66.85,1.00,234.86,0.00,0.00,0.00,1.08,36.26,58145,0.00,0.00,0.00,0.00,0.97,35651.00,0.95,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD30BA96DD11EF937150EBF6EE7050,137290.75,144614.86,63.19
2024-10-30 P222 Group 2 Rev 2 R01,3596.15,3596.15,0.96,0.00,0.00,0.00,189186.44,158397.29,162225.88,1.83,7.00,7.00,816.00,1210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.92,1.00,1.09,228.67,1.00,2024-10-30 12:41:31,67.67,68.84,67.67,251.61,3.41,1.00,-85.00,10.00,0.00,1.13,0.00,1.00,62.22,62.22,7,52.00,52.00,20.55,70.52,1.00,248.88,0.00,0.00,0.00,1.09,29.53,58146,0.00,0.00,0.00,0.00,0.96,27719.00,0.92,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD32C196DD11EF937150EBF6EE7050,162225.88,170795.50,66.85
2024-10-30 P222 Group 2 Rev 2 R01,2588.35,2588.35,0.99,0.00,0.00,0.00,117647.33,98811.04,99060.27,1.83,8.00,8.00,835.00,1242.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.94,1.00,1.06,195.82,1.00,2024-10-30 12:41:31,57.41,58.51,57.41,190.10,3.48,1.00,-70.00,-45.00,0.00,1.12,0.00,1.00,53.11,53.11,8,46.00,46.00,34.57,59.53,1.00,212.43,0.00,0.00,0.00,1.08,39.57,58147,0.00,0.00,0.00,0.00,0.97,34878.00,0.96,2024-10-30 12:41:31,2024-10-30 12:41:31,0.02,D5AD34C896DD11EF937150EBF6EE7050,99060.27,104876.10,55.86
2024-10-30 P222 Group 2 Rev 2 R01,1779.38,1779.38,0.96,0.00,0.00,0.00,71151.90,55094.89,56463.18,1.83,9.00,9.00,627.00,1563.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.95,1.00,1.05,164.62,1.00,2024-10-30 12:41:31,47.60,48.89,47.60,198.17,3.56,1.00,5.00,-90.00,0.00,1.12,0.00,1.00,44.91,44.91,9,40.00,41.00,36.03,50.37,1.00,179.65,0.00,0.00,0.00,1.09,38.71,58148,0.00,0.00,0.00,0.00,0.98,26299.00,0.94,2024-10-30 12:41:31,2024-10-30 12:41:31,0.03,D5AD36C896DD11EF937150EBF6EE7050,56463.18,61200.25,46.71
2024-10-30 P222 Group 2 Rev 2 R01,2366.03,2366.03,0.98,0.00,0.00,0.00,105203.25,85910.32,86575.32,1.83,10.00,10.00,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.94,1.00,1.06,188.44,1.00,2024-10-30 12:41:31,54.89,56.32,54.89,162.42,3.73,1.00,15.00,0.00,0.00,1.13,0.00,1.00,51.17,51.17,10,45.00,44.00,41.65,57.70,1.00,204.66,0.00,0.00,0.00,1.09,42.04,58149,0.00,0.00,0.00,0.00,0.97,38860.00,0.91,2024-10-30 12:41:31,2024-10-30 12:41:31,0.03,D5AD38C396DD11EF937150EBF6EE7050,86575.32,93546.14,54.03
