Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,8133.18,8133.18,0.85,0.00,0.00,0.00,713199.66,512259.89,551765.57,1.83,1.00,1.00,604.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.80,0.98,1.26,345.46,0.99,2024-10-30 11:26:55,101.76,105.93,101.76,228.48,2.91,1.00,-35.00,35.00,0.00,1.20,0.00,1.00,96.84,96.84,1,71.00,76.00,19.22,116.31,1.00,387.35,0.00,0.00,0.00,1.12,34.39,42016,0.00,0.00,0.00,0.00,0.89,54437.00,0.81,2024-10-30 11:26:55,2024-10-30 11:26:55,0.04,69B4F05896D311EF937150EBF6EE7050,551765.57,622336.40,94.33
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,6753.86,6753.86,0.99,0.00,0.00,0.00,459173.38,415084.93,417534.48,1.83,2.00,2.00,368.00,294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.90,1.00,1.11,308.86,1.00,2024-10-30 11:26:55,92.73,94.58,92.73,248.94,3.06,1.00,-35.00,0.00,0.00,1.17,0.00,1.00,83.62,83.62,2,65.00,65.00,19.49,97.99,1.00,334.47,0.00,0.00,0.00,1.08,30.51,42017,0.00,0.00,0.00,0.00,0.95,46530.00,0.93,2024-10-30 11:26:55,2024-10-30 11:26:55,0.02,69B4F41196D311EF937150EBF6EE7050,417534.48,443017.82,92.50
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,2564.89,2564.89,0.92,0.00,0.00,0.00,115144.34,93357.35,97716.44,1.83,3.00,3.00,302.00,559.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.95,1.00,1.05,194.98,1.00,2024-10-30 11:26:55,57.15,58.20,57.15,203.67,3.16,1.00,40.00,-25.00,0.00,1.16,0.00,1.00,52.73,52.73,3,46.00,45.00,33.38,61.36,1.00,210.92,0.00,0.00,0.00,1.08,38.99,42018,0.00,0.00,0.00,0.00,0.97,33415.00,0.93,2024-10-30 11:26:55,2024-10-30 11:26:55,0.02,69B4F68B96D311EF937150EBF6EE7050,97716.44,103243.11,54.03
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,2876.80,2876.80,0.93,0.00,0.00,0.00,153771.01,114029.36,116072.30,1.83,4.00,4.00,613.00,1353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.87,0.98,1.16,211.03,1.00,2024-10-30 11:26:55,60.52,63.65,60.52,185.07,3.16,1.00,30.00,0.00,0.00,1.18,0.00,1.00,58.07,58.07,4,48.00,46.00,35.37,68.69,1.00,232.27,0.00,0.00,0.00,1.10,38.15,42018,0.00,0.00,0.00,0.00,0.93,39156.00,0.80,2024-10-30 11:26:55,2024-10-30 11:26:55,0.05,69B4F8D996D311EF937150EBF6EE7050,116072.30,135006.59,57.70
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,2246.64,2246.64,0.98,0.00,0.00,0.00,101259.15,79215.90,80106.06,1.83,5.00,5.00,762.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.92,1.00,1.09,184.20,1.00,2024-10-30 11:26:55,53.48,54.85,53.48,233.78,3.23,1.00,-80.00,0.00,0.00,1.11,0.00,1.00,50.52,50.52,5,44.00,43.00,30.56,55.86,1.00,202.07,0.00,0.00,0.00,1.10,39.65,42019,0.00,0.00,0.00,0.00,0.96,27262.00,0.92,2024-10-30 11:26:55,2024-10-30 11:26:55,0.02,69B4FB3C96D311EF937150EBF6EE7050,80106.06,86385.19,52.20
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,2968.42,2968.42,0.99,0.00,0.00,0.00,141682.20,121279.68,121661.09,1.83,6.00,6.00,844.00,1011.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.94,1.00,1.06,208.36,1.00,2024-10-30 11:26:55,61.48,62.53,61.48,197.02,3.23,1.00,5.00,0.00,0.00,1.12,0.00,1.00,56.50,56.50,6,48.00,48.00,32.34,63.19,1.00,226.01,0.00,0.00,0.00,1.08,38.48,42019,0.00,0.00,0.00,0.00,0.97,36802.00,0.95,2024-10-30 11:26:55,2024-10-30 11:26:55,0.02,69B4FD6596D311EF937150EBF6EE7050,121661.09,128008.46,61.36
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,1980.34,1980.34,0.90,0.00,0.00,0.00,85620.60,62341.89,66293.88,1.83,7.00,7.00,577.00,1772.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.92,0.99,1.08,174.30,1.00,2024-10-30 11:26:55,50.21,51.59,50.21,157.79,3.33,1.00,-80.00,0.00,0.00,1.17,0.00,1.00,47.77,47.77,7,44.00,41.00,47.83,55.86,1.00,191.08,0.00,0.00,0.00,1.10,42.78,42020,0.00,0.00,0.00,0.00,0.96,38267.00,0.92,2024-10-30 11:26:55,2024-10-30 11:26:55,0.03,69B4FF9896D311EF937150EBF6EE7050,66293.88,71894.70,48.54
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,4085.29,4085.29,0.88,0.00,0.00,0.00,258644.02,188266.09,196425.76,1.83,8.00,8.00,138.00,894.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.84,0.97,1.20,250.38,1.00,2024-10-30 11:26:55,72.12,75.81,72.12,246.56,3.41,1.00,40.00,-70.00,0.00,1.23,0.00,1.00,69.06,69.06,8,54.00,54.00,20.18,85.17,1.00,276.23,0.00,0.00,0.00,1.10,33.42,42021,0.00,0.00,0.00,0.00,0.91,30519.00,0.79,2024-10-30 11:26:55,2024-10-30 11:26:55,0.05,69B501C496D311EF937150EBF6EE7050,196425.76,228108.69,70.52
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,6387.65,6387.65,0.93,0.00,0.00,0.00,439942.40,368488.63,384039.28,1.83,9.00,9.00,529.00,1138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.88,1.00,1.14,301.82,1.00,2024-10-30 11:26:55,90.18,92.24,90.18,223.08,3.41,1.00,-85.00,0.00,0.00,1.19,0.00,1.00,82.43,82.43,9,67.00,62.00,24.25,97.99,1.00,329.73,0.00,0.00,0.00,1.09,33.07,42021,0.00,0.00,0.00,0.00,0.94,54998.00,0.89,2024-10-30 11:26:55,2024-10-30 11:26:55,0.02,69B503F096D311EF937150EBF6EE7050,384039.28,410938.13,87.00
2024-10-30 P2328 Group 5 Rev 2 R01 PP1,3104.68,3104.68,0.97,0.00,0.00,0.00,148683.55,127728.29,130133.21,1.83,10.00,10.00,233.00,1659.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.95,1.00,1.06,212.85,1.00,2024-10-30 11:26:55,62.87,63.80,62.87,193.93,3.41,1.00,5.00,-90.00,0.00,1.13,0.00,1.00,57.42,57.42,10,48.00,49.00,30.56,65.02,1.00,229.68,0.00,0.00,0.00,1.08,35.61,42021,0.00,0.00,0.00,0.00,0.97,36179.00,0.94,2024-10-30 11:26:55,2024-10-30 11:26:55,0.01,69B5060996D311EF937150EBF6EE7050,130133.21,135980.19,61.36
