Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,3799.81,3799.81,0.96,0.00,0.00,0.00,215370.40,173493.72,176200.04,1.83,1.00,1.00,149.00,267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.88,0.99,1.13,237.39,1.00,2024-10-29 15:55:06,69.56,71.74,69.56,247.96,2.98,1.00,-10.00,-90.00,0.00,1.20,0.00,1.00,64.97,64.97,1,52.00,55.00,21.20,77.84,1.00,259.87,0.00,0.00,0.00,1.09,32.64,78708,0.00,0.00,0.00,0.00,0.94,30034.00,0.89,2024-10-29 15:55:06,2024-10-29 15:55:06,0.03,B4036147962F11EF937150EBF6EE7050,176200.04,193303.79,68.69
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,6280.11,6280.11,0.95,0.00,0.00,0.00,411263.65,364653.59,374381.40,1.83,2.00,2.00,341.00,831.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.91,1.00,1.10,297.59,1.00,2024-10-29 15:55:06,89.42,90.82,89.42,244.70,3.06,1.00,70.00,0.00,0.00,1.17,0.00,1.00,80.60,80.60,2,65.00,62.00,21.47,94.33,1.00,322.41,0.00,0.00,0.00,1.08,31.08,78709,0.00,0.00,0.00,0.00,0.95,47937.00,0.95,2024-10-29 15:55:06,2024-10-29 15:55:06,0.02,B403643F962F11EF937150EBF6EE7050,374381.40,392191.06,87.00
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,3910.87,3910.87,0.95,0.00,0.00,0.00,234104.18,178817.77,183981.16,1.83,3.00,3.00,197.00,1276.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.86,1.00,1.16,240.38,1.00,2024-10-29 15:55:06,70.57,72.70,70.57,188.33,3.14,1.00,70.00,0.00,0.00,1.17,0.00,1.00,66.80,66.80,3,55.00,52.00,30.64,77.84,1.00,267.20,0.00,0.00,0.00,1.11,38.35,78710,0.00,0.00,0.00,0.00,0.93,44547.00,0.90,2024-10-29 15:55:06,2024-10-29 15:55:06,0.03,B4036694962F11EF937150EBF6EE7050,183981.16,201223.97,68.69
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,4495.75,4495.75,0.97,0.00,0.00,0.00,258818.18,225177.35,226760.56,1.83,4.00,4.00,277.00,1169.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.75,0.99,1.34,259.21,0.99,2024-10-29 15:55:06,75.66,78.45,75.66,162.24,3.23,1.56,-25.00,60.00,0.11,0.90,0.00,0.64,92.75,59.61,4,57.00,59.00,33.73,83.34,1.00,304.72,0.00,0.00,0.00,1.18,46.03,78711,0.00,0.00,0.00,0.00,0.86,55591.00,0.80,2024-10-29 15:55:06,2024-10-29 15:55:06,0.04,B40368CE962F11EF937150EBF6EE7050,226760.56,252834.39,74.18
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,3381.19,3381.19,0.91,0.00,0.00,0.00,169726.98,139884.18,147900.12,1.83,5.00,5.00,143.00,1759.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.93,0.99,1.07,222.08,1.00,2024-10-29 15:55:06,65.61,66.80,65.61,208.64,3.23,1.00,75.00,0.00,0.00,1.21,0.00,1.00,60.01,60.01,5,53.00,48.00,29.87,72.35,1.00,240.04,0.00,0.00,0.00,1.08,34.80,78711,0.00,0.00,0.00,0.00,0.97,38142.00,0.94,2024-10-29 15:55:06,2024-10-29 15:55:06,0.02,B4036AF0962F11EF937150EBF6EE7050,147900.12,156090.76,61.36
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,4923.26,4923.26,0.99,0.00,0.00,0.00,288297.95,259311.77,259862.06,1.83,6.00,6.00,269.00,834.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.92,1.00,1.09,265.24,1.00,2024-10-29 15:55:06,79.17,80.54,79.17,244.17,3.31,1.00,-70.00,0.00,0.00,1.16,0.00,1.00,71.60,71.60,6,58.00,58.00,22.71,83.34,1.00,286.40,0.00,0.00,0.00,1.08,31.56,78712,0.00,0.00,0.00,0.00,0.96,40625.00,0.93,2024-10-29 15:55:06,2024-10-29 15:55:06,0.02,B4036D23962F11EF937150EBF6EE7050,259862.06,273543.10,79.67
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,3961.95,3961.95,0.97,0.00,0.00,0.00,221874.93,184730.00,187597.64,1.83,7.00,7.00,337.00,505.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.90,1.00,1.11,240.37,1.00,2024-10-29 15:55:06,71.02,72.76,71.02,243.81,3.39,1.00,-50.00,45.00,0.00,1.16,0.00,1.00,65.62,65.62,7,54.00,54.00,23.93,76.01,1.00,262.46,0.00,0.00,0.00,1.09,34.72,78713,0.00,0.00,0.00,0.00,0.95,35203.00,0.93,2024-10-29 15:55:06,2024-10-29 15:55:06,0.02,B4036F49962F11EF937150EBF6EE7050,187597.64,201646.71,70.52
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,2269.91,2269.91,0.94,0.00,0.00,0.00,84940.11,80600.45,81353.43,1.83,8.00,8.00,188.00,541.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.66,0.98,1.52,195.30,0.96,2024-10-29 15:55:06,53.76,58.56,53.76,109.97,3.48,2.35,10.00,50.00,0.33,0.75,0.00,0.42,84.29,35.82,8,46.00,47.00,53.91,63.19,1.00,240.22,0.00,0.00,0.00,1.23,62.02,78714,0.00,0.00,0.00,0.00,0.81,48522.00,0.76,2024-10-29 15:55:06,2024-10-29 15:55:06,0.08,B403715C962F11EF937150EBF6EE7050,81353.43,105149.93,54.03
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,2723.52,2723.52,0.95,0.00,0.00,0.00,151649.87,103958.86,106919.88,1.83,9.00,9.00,283.00,1582.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.83,1.00,1.20,203.15,1.00,2024-10-29 15:55:06,58.89,60.75,58.89,151.02,3.48,1.00,-90.00,0.00,0.00,1.12,0.00,1.00,57.80,57.80,9,50.00,46.00,39.01,65.02,1.00,231.19,0.00,0.00,0.00,1.14,39.80,78714,0.00,0.00,0.00,0.00,0.91,41157.00,0.82,2024-10-29 15:55:06,2024-10-29 15:55:06,0.03,B4037389962F11EF937150EBF6EE7050,106919.88,117380.51,57.70
2024-10-29 P2001 Group 1 Rev 1 R02 PP1,6390.73,6390.73,0.96,0.00,0.00,0.00,449334.54,376085.34,384316.52,1.83,10.00,10.00,496.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.87,1.00,1.15,301.27,1.00,2024-10-29 15:55:06,90.20,92.09,90.20,140.88,3.73,1.00,-85.00,0.00,0.00,1.14,0.00,1.00,83.02,83.02,10,65.00,62.00,31.77,94.33,1.00,332.06,0.00,0.00,0.00,1.10,51.40,78715,0.00,0.00,0.00,0.00,0.93,72095.00,0.87,2024-10-29 15:55:06,2024-10-29 15:55:06,0.02,B40375C3962F11EF937150EBF6EE7050,384316.52,408901.54,87.00
